"","Mission_Name","Organization","Organization_Type","Nation","Sat_Type","Launch_Year","Rocket","Orbit","Mission_Type"
"645","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"646","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"647","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"648","Weebill","KoncarX","Company","US","1U","12/31/16","not launched","not launched","Space Activity"
"649","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"650","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"651","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"652","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"653","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"654","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"655","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"656","VPM (Very low frequency Particle Mapper)","Air Force Research Laboratory (AFRL)","Military","US","6U","12/31/16","not launched","-","Space Technology"
"657","Prometheus Block 2 - 9","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"658","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"659","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"660","PISat (PESIT Imaging Satellite)","PES Institute of Technology","University","India","5.3 kg","12/31/16","PSLV","not launched","Space Activity"
"661","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"662","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"663","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"664","Prometheus Block 2 - 10","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"665","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"666","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"667","Pratham","Indian Institute of Technology Bombay","University","India","10 kg","12/31/16","PSLV","not launched","Space Technology"
"668","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"669","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"670","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"671","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"672","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"673","Rascal A","Saint Louis University","University","US","3U","12/31/16","-","not launched","Space Technology"
"674","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"675","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"676","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"677","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"678","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"679","Rascal B","Saint Louis University","University","US","3U","12/31/16","-","not launched","Space Technology"
"680","AISSat-3","University of Toronto","University","Norway","7 kg","12/31/16","Sojuz-2 1b","not launched","Space Activity"
"681","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"682","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"683","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"684","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"685","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"686","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"687","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"688","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"689","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"690","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"691","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"692","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"693","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"694","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"695","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"696","Landmapper-BC 1 (previously Perseus-O)","Aquila Space (previously Canopus?)","Company","US","6U","12/31/16","Sojuz","not launched","Space Activity"
"697","CEPHEUS","Test in Space / Solar MEMS","Company","Spain","3U","12/31/16","-","600 km, SSO","Space Technology"
"698","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"699","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"700","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"701","STARS-C MS (STARS-III Mother Satellite)","Shizuoka University","University","Japan","2U","12/31/16","H-2B","not launched","Space Technology"
"702","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"703","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"704","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"705","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"706","DOSS (Differential Optical Shadow Sensor CubeSat)","University of Florida","University","US","3U","12/31/16","-","not launched","Space Technology"
"707","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"708","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"709","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"710","XS-Sat","Sonoma State University","University","US","1U","12/31/16","TBD","ISS","Space Science"
"711","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"712","Arduiqube","Amateur group","Independent","Argentina","PocketQube 1p","12/31/16","Dnepr","not launched","Space Technology"
"713","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"714","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"715","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"716","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"717","Armadillo (Attitude Related Maneuvers And Debris Instrument in Low (L) Orbit)","University of Texas","University","US","3U","12/31/16","Falcon Heavy","not launched","Space Technology"
"718","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"719","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"720","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"721","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","not launched","Space Activity"
"722","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"723","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"724","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"725","EGG","University of Tokyo","University","Japan","3U","12/31/16","H-2B","not launched","Space Technology"
"726","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"727","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"728","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"729","Tancredo 1","Presidente Tancredo de Almeida Neves","School","Brazil","TubeSat","12/31/16","TuPOD","ISS","Space Activity"
"730","ESCAPE (Earth Science CubeSat for Advanced Payload Experiments)","NASA Goddard Space Flight Center","Agency","US","3U","12/31/16","-","not launched","Space Technology"
"731","Buccaneer Risk Mitigation","Australian Defence Science and Technology Organisation","Military","Australia","3U","12/31/16","-","-","Space Technology"
"732","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"733","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"734","TuPOD","Morehead State University","University","US","3U","12/31/16","ISS","ISS","Space Activity"
"735","FalconSAT-7","Air Force Academy","University","US","3U","12/31/16","Falcon Heavy","not launched","Space Technology"
"736","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"737","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"738","R2S","University of North Dakota","University","US","1U","12/31/16","TBD","TBD","Space Technology"
"739","PNSS-1 (Pakistan National Student Satellite)","SUPARCO (Pakistan Space & Upper Atmoshpere Research Comission, Space Agency of Pakistan","Agency","Pakistan","3U","12/31/16","-","-","Space Technology"
"740","FREEDOM","Tohoku University","University","Japan","1U","12/31/16","H-2B","not launched","Space Technology"
"741","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"742","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"743","ITF-2","University of Tsukuba","University","Japan","1U","12/31/16","H-2B","not launched","Space Technology"
"744","CAPE - MIRCA2 (Cubesat Application for Planetary Entry Missions - Micro Return Capsule 2)","NASA Goddard Space Flight Center","Agency","US","3U","12/31/16","-","not launched","Space Technology"
"745","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"746","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"747","LAICE (Lower Atmosphere/Ionosphere Coupling Experiment)","University of Illinois at Urbana-Champaign","University","US","6U","12/31/16","-","not launched","Space Science"
"748","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"749","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"750","Ulises 1","National Polytechnic Institute","University","Mexico","TubeSat","12/31/16","TuPOD","not launched","Space Activity"
"751","LightSail-B","The Planetary Society","Non-profit","US","3U","12/31/16","Falcon Heavy","not launched","Space Technology"
"752","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"753","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"754","Shields-1","NASA Langley Research Center","Agency","US","3U","12/31/16","-","-","Space Technology"
"755","SporeSat2","NASA Ames","University","US","3U","12/31/16","not launched","ISS","Space Science"
"756","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"757","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"758","Quest-1","Valle Christian High School","School","US","1U","12/31/16","Falcon 9","ISS","Space Technology"
"759","NanoDragon","Vietnam National Satellite Center","Institute","Vietnam","10 kg","12/31/16","-","not launched","-"
"760","SME-SAT (SMESAT)","University of Surrey","University","UK","3U","12/31/16","-","not launched","Space Technology"
"761","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"762","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"763","UWE-5","University of Würzburg","University","Germany","1U","12/31/16","-","not launched","Space Technology"
"764","NUTS (NTNU Test Satellite)","Norwegian University of Science and Technology","University","Norway","2U","12/31/16","-","not launched","Space Technology"
"765","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"766","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"767","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"768","Aalto-1","Aalto University","University","Finland","3U","12/31/16","Falcon 9, SHERPA","not launched","Space Technology"
"769","OSIRIS-3U (Orbital Satellite for Investigating the Response of the Ionosphere to Stimulation and Space Weather)","The Pennsylvania State University","University","US","3U","12/31/16","-","not launched","Space Science"
"770","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"771","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"772","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"773","DOTS-X (NanoTug)","Deep Space Industries (DSI)","Company","US","3U","12/31/16","Falcon Heavy","not launched","Space Technology"
"774","PAISIUS","BOREAS Space (Bulgarian Orbital REsearch and Satellites)","Company","Bulgaria","4U","12/31/16","-","not launched","Space Technology"
"775","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"776","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"777","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"778","Parikshit","Manipal Institute of Technology","University","India","2U","12/31/16","-","not launched","Space Technology"
"779","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"780","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"781","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"782","PolarCube","University of Colorado at Boulder","University","US","3U","12/31/16","-","not launched","Space Technology"
"783","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"784","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"785","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"786","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"787","SEAM (Small Explorer for Advanced Missions)","Royal Institute of Technology","University","Sweden","3U","12/31/16","Sojuz-2 1b","not launched","Space Technology"
"788","BMSTU-Sail","Bauman Moscow State Technical University","University","Russia","1U","12/31/16","not launched","ISS","Space Technology"
"789","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"790","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"791","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"792","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"793","CP9 (LEO, Launch Environment Observer)","California Polytechnic State University","University","US","2U","12/31/16","Falcon Heavy","not launched","Space Technology"
"794","Stangsat","Merritt Island High School","School","US","1U","12/31/16","Falcon Heavy","not launched","Space Technology"
"795","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"796","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"797","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"798","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"799","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"800","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"801","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"802","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"803","RadSat","Montana State University","University","US","2U","12/31/16","not launched","ISS","Space Technology"
"804","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"805","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"806","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"807","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"808","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"809","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"810","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"811","qbee","Luleå Tekniska Universitet (LTU)","University","Sweden","2U","12/31/16","TBD","ISS","Space Science"
"812","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"813","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"814","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"815","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"816","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"817","STARS-C DS (STARS-III Daughter Satellite)","Shizuoka University","University","Japan","1U","12/31/16","H-2B","not launched","Space Technology"
"818","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"819","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"820","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"821","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"822","CanX-7","University of Toronto Institute for Aerospace Studies","University","Canada","2U","12/31/16","-","not launched","Space Technology"
"823","Waseda-Sat3","Waseda University","University","Japan","1U","12/31/16","H-2B","not launched","Space Technology"
"824","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"825","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"826","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"827","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"828","RANGE-A (Ranging And Nanosatellite Guidance Experiment)","Georgia Tech","University","US","1.5U","12/31/16","not launched","not launched","Space Technology"
"829","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"830","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"831","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"832","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"833","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"834","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"835","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"836","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"837","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"838","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"839","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"840","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"841","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"842","RANGE-B (Ranging And Nanosatellite Guidance Experiment)","Georgia Tech","University","US","1.5U","12/31/16","not launched","not launched","Space Technology"
"843","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"844","Lucky-7","SkyFox Labs","Company","Czech","1U","12/31/16","-","600 km, 98 degree inclination","Space Technology"
"845","CryoCube","NASA Kennedy Space Center","Agency","US","3U","12/31/16","-","not launched","Space Technology"
"846","IceCube (Earth-1)","NASA Goddard Space Flight Center","Agency","US","3U","12/31/16","not launched","not launched","Space Activity"
"847","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"848","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"849","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"850","D-Sat","D-Orbit","Company","Italy","3U","12/31/16","PSLV","not launched","Space Technology"
"851","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"852","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"853","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"854","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"855","TBEx-B (Tandem Beacon Experiment)","The University of Michigan","University","US","TBD","12/31/16","Falcon Heavy","not launched","Space Activity"
"856","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"857","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"858","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"859","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"860","Landmapper-BC 2 (previously Perseus-O)","Aquila Space (previously Canopus?)","Company","US","6U","12/31/16","Sojuz","not launched","Space Activity"
"861","DISCOSAT 1 (DISCOvery Museum Satellite)","The Discovery Museum and Planetarium","Institute","US","2U","12/31/16","-","not launched","Space Technology"
"862","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"863","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"864","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"865","Landmapper-BC 3 (previously Perseus-O)","Aquila Space (previously Canopus?)","Company","US","6U","12/31/16","Sojuz","not launched","Space Activity"
"866","ELFIN","University of California","University","US","3U","12/31/16","-","not launched","Space Science"
"867","TEPCE A (Tether Electrodynamics Propulsion CubeSat Experiment)","Naval Research Lab","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"868","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"869","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"870","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"871","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"872","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"873","Aoba-VeloxIII","Kyushu Institute of Technology","University","Japan","2U","12/31/16","H-2B","not launched","Space Technology"
"874","PSAT-2","US Naval Academy Satellite Lab","University","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"875","Landmapper-BC 4 (previously Perseus-O)","Aquila Space (previously Canopus?)","Company","US","6U","12/31/16","Sojuz","not launched","Space Activity"
"876","TEPCE B (Tether Electrodynamics Propulsion CubeSat Experiment)","Naval Research Lab","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"877","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"878","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"879","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"880","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"881","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"882","TBEx-A (Tandem Beacon Experiment)","The University of Michigan","University","US","TBD","12/31/16","Falcon Heavy","not launched","Space Activity"
"883","FemtoXat","University of Vigo","University","Spain","TBD","12/31/16","-","not launched","Space Technology"
"884","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"885","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"886","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"887","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"888","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"889","Landmapper-HD 1 (Corvus-HD bus)","Aquila Space","Company","US","16U","12/31/16","TBD","not launched","Space Activity"
"890","KickSat-2","Cornell University","University","US","3U","12/31/16","Atlas V","ISS","Space Activity"
"891","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"892","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"893","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"894","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"895","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"896","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"897","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"898","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"899","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"900","Landmapper-HD 2 (Corvus-HD bus)","Aquila Space","Company","US","16U","12/31/16","TBD","not launched","Space Activity"
"901","Hera-5","Hera Systems","Company","US","12U","12/31/16","not launched","not launched","Space Activity"
"902","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"903","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"904","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"905","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"906","Landmapper-HD 3 (Corvus-HD bus)","Aquila Space","Company","US","16U","12/31/16","TBD","not launched","Space Activity"
"907","HARP (HyperAngular Rainbow Polarimeter)","University of Maryland","University","US","3U","12/31/16","-","not launched","Space Technology"
"908","Hera-4","Hera Systems","Company","US","12U","12/31/16","not launched","not launched","Space Activity"
"909","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"910","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"911","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"912","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"913","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"914","Landmapper-HD 4 (Corvus-HD bus)","Aquila Space","Company","US","16U","12/31/16","TBD","not launched","Space Activity"
"915","ICE-Cap (Integrated Communications Extension Capability)","US Navy PEO Space Systems","Military","US","3U","12/31/16","-","-","Space Technology"
"916","Hera-3","Hera Systems","Company","US","12U","12/31/16","not launched","not launched","Space Activity"
